Depth   VP    VS  Density
0.000 5.8000 3.4600 2.4490
20.000 5.8000 3.4600 2.4490
20.000 6.5000 3.8500 2.7142
35.000 6.5000 3.8500 2.7142
35.000 8.0400 4.4800 3.2976
77.500 8.0450 4.4900 3.2994
120.000 8.0500 4.5000 3.3013
165.000 8.1750 4.5090 3.3487
210.000 8.3000 4.5180 3.3960
210.000 8.3000 4.5230 3.3960
260.000 8.4825 4.6090 3.4652
310.000 8.6650 4.6960 3.5343
360.000 8.8475 4.7830 3.6034
410.000 9.0300 4.8700 3.6726
410.000 9.3600 5.0800 3.7976
460.000 9.5280 5.1860 3.8612
510.000 9.6960 5.2920 3.9248
560.000 9.8640 5.3980 3.9885
610.000 10.0320 5.5040 4.0521
660.000 10.2000 5.6100 4.1158
660.000 10.7900 5.9600 4.3393
710.000 10.9229 6.0897 4.3896
760.000 11.0558 6.2095 4.4399
809.500 11.1353 6.2426 4.4701
859.000 11.2221 6.2798 4.5029
908.500 11.3068 6.3160 4.5350
958.000 11.3896 6.3512 4.5664
1007.500 11.4705 6.3854 4.5970
1057.000 11.5495 6.4187 4.6270
1106.500 11.6269 6.4510 4.6563
1156.000 11.7026 6.4828 4.6849
1205.500 11.7766 6.5138 4.7130
1255.000 11.8491 6.5439 4.7404
1304.500 11.9200 6.5727 4.7673
1354.000 11.9895 6.6008 4.7936
1403.500 12.0577 6.6285 4.8195
1453.000 12.1245 6.6555 4.8448
1502.500 12.1912 6.6815 4.8700
1552.000 12.2550 6.7073 4.8942
1601.500 12.3185 6.7326 4.9182
1651.000 12.3819 6.7573 4.9423
1700.500 12.4426 6.7815 4.9653
1750.000 12.5031 6.8052 4.9882
1799.500 12.5631 6.8286 5.0109
1849.000 12.6221 6.8515 5.0333
1898.500 12.6804 6.8742 5.0553
1948.000 12.7382 6.8972 5.0772
1997.500 12.7956 6.9194 5.0990
2047.000 12.8526 6.9418 5.1206
2096.500 12.9096 6.9627 5.1422
2146.000 12.9668 6.9855 5.1638
2195.500 13.0222 7.0063 5.1848
2245.000 13.0783 7.0281 5.2061
2294.500 13.1336 7.0500 5.2270
2344.000 13.1894 7.0720 5.2481
2393.500 13.2465 7.0931 5.2698
2443.000 13.3018 7.1144 5.2907
2492.500 13.3585 7.1369 5.3122
2542.000 13.4156 7.1586 5.3338
2591.500 13.4741 7.1807 5.3560
2640.000 13.5312 7.2031 5.3776
2690.000 13.5900 7.2258 5.3999
2740.000 13.6494 7.2490 5.4224
2740.000 13.6494 7.2490 5.4224
2789.670 13.6530 7.2597 5.4238
2839.330 13.6566 7.2704 5.4251
2891.500 13.6602 7.2811 5.4265
2891.500 8.0000 0.0000 9.9145
2939.330 8.0382 0.0000 9.9942
2989.660 8.1283 0.0000 10.0722
3039.990 8.2213 0.0000 10.1485
3090.320 8.3122 0.0000 10.2233
3140.660 8.4001 0.0000 10.2964
3190.990 8.4861 0.0000 10.3679
3241.320 8.5692 0.0000 10.4378
3291.650 8.6496 0.0000 10.5062
3341.980 8.7283 0.0000 10.5731
3392.310 8.8036 0.0000 10.6385
3442.640 8.8761 0.0000 10.7023
3492.970 8.9461 0.0000 10.7647
3543.300 9.0138 0.0000 10.8257
3593.640 9.0792 0.0000 10.8852
3643.970 9.1426 0.0000 10.9434
3694.300 9.2042 0.0000 11.0001
3744.630 9.2634 0.0000 11.0555
3794.960 9.3205 0.0000 11.1095
3845.290 9.3760 0.0000 11.1623
3895.620 9.4297 0.0000 11.2137
3945.950 9.4814 0.0000 11.2639
3996.280 9.5306 0.0000 11.3127
4046.620 9.5777 0.0000 11.3604
4096.950 9.6232 0.0000 11.4069
4147.280 9.6673 0.0000 11.4521
4197.610 9.7100 0.0000 11.4962
4247.940 9.7513 0.0000 11.5391
4298.270 9.7914 0.0000 11.5809
4348.600 9.8304 0.0000 11.6216
4398.930 9.8682 0.0000 11.6612
4449.260 9.9051 0.0000 11.6998
4499.600 9.9410 0.0000 11.7373
4549.930 9.9761 0.0000 11.7737
4600.260 10.0103 0.0000 11.8092
4650.590 10.0439 0.0000 11.8437
4700.920 10.0768 0.0000 11.8772
4801.580 10.1415 0.0000 11.9414
4851.910 10.1739 0.0000 11.9722
4902.240 10.2049 0.0000 12.0001
4952.580 10.2329 0.0000 12.0311
5002.910 10.2565 0.0000 12.0593
5053.240 10.2745 0.0000 12.0867
5103.570 10.2854 0.0000 12.1133
5153.500 10.2890 0.0000 12.1391
5153.500 11.0427 3.5043 12.7037
5204.610 11.0585 3.5187 12.7289
5255.320 11.0718 3.5314 12.7530
5306.040 11.0850 3.5435 12.7760
5356.750 11.0983 3.5551 12.7980
5407.460 11.1166 3.5661 12.8188
5458.170 11.1316 3.5765 12.8387
5508.890 11.1457 3.5864 12.8574
5559.600 11.1590 3.5957 12.8751
5610.310 11.1715 3.6044 12.8917
5661.020 11.1832 3.6126 12.9072
5711.740 11.1941 3.6202 12.9217
5813.160 11.2134 3.6337 12.9474
5863.870 11.2219 3.6396 12.9586
5914.590 11.2295 3.6450 12.9688
5965.300 11.2364 3.6498 12.9779
6016.010 11.2424 3.6540 12.9859
6066.720 11.2477 3.6577 12.9929
6117.440 11.2521 3.6608 12.9988
6168.150 11.2557 3.6633 13.0036
6218.860 11.2586 3.6653 13.0074
6269.570 11.2606 3.6667 13.0100
6320.290 11.2618 3.6675 13.0117
6371.000 11.2622 3.6678 13.0122
